episode,scene,subject,lower_third_line1,lower_third_line2,footnote,variant_tag
S1E1_ATL,Midway_Pitch,Nelly,$5 Tour Prophet,Coupon-Backed Treasury (CBT) Founder,,hero
S1E1_ATL,Midway_Pitch,Moses Gunner,Chief Compliance (Self-Certified),Permit Type: RECEIPT (Laminated),,
S1E1_ATL,Midway_Pitch,Ja Rule,Redemption Architect,Conversion Rate: TBD,,
S1E1_ATL,Midway_Pitch,Busta Rhymes,Consensus Evangelist,Volume-Based Governance,,
S1E1_ATL,Midway_Pitch,Bow Wow,Chief Snack Officer,Collab Status: Imaginary,,
S1E1_ATL,Midway_Pitch,Ludacris,Headliner (Self-Declared),Jumbotron Entitlement Fund,,
S1E1_ATL,Midway_Pitch,Diamond,Monetization Director,Refund Assurance (™),,
S1E1_ATL,Midway_Pitch,Peaches,VP of Rope,Chaotic Financial Officer,,
S1E1_ATL,Midway_Pitch,Crystal,Content Dept. (Live),Geo Tag: Wrong City,,
S1E1_ATL,Denny's,Denny's Host,Collab Denied (Diner),Brand Safety: Max,,
S1E1_ATL,Waffle_House,Line Cook,Unbothered,Hashbrown Futures (Overcooked),,
S1E1_ATL,IHOP,Waitress,Council of Elders (Night Shift),Comp Authority: Syrup,,
S1E1_ATL,Tow_Theology,Tow Operator,Asset Recovery,APR: Actually Cash,,
S1E2_STL,Arch_Tour,Nelly,$5 Tour Tycoon,Coupon-Backed Treasury Founder,,hero
S1E2_STL,Arch_Tour,Moses Gunner,Chief Compliance (Mobile Campus),Schedule Backed by Receipts,,
S1E2_STL,Arch_Tour,Busta Rhymes,CONSENSUS Department,Slices Pending,,
S1E2_STL,Arch_Tour,Ja Rule,Redemption Architect,Conversion Pending,,
S1E2_STL,Arch_Tour,Bow Wow,Official $FRTWTR x Ravioli,Status: Unconfirmed,,
S1E2_STL,Arch_Tour,Ludacris,Headliner,Seventh-Inning Specialist,,
S1E2_STL,Arch_Tour,Will & Soulja,First To Everything,Latency: Unbearable,,
S1E2_STL,Arch_Tour,Diamond,Monetization Director,Glitter Backed,,
S1E2_STL,Arch_Tour,Peaches,Security = Vibes,VP of Rope,,
S1E2_STL,Arch_Tour,Crystal,Content Dept.,Geo Tag: Still Wrong,,
S1E2_STL,Brewery,Lonnie (Security),Kindly No,Access Revoked (Politely),,
S1E2_STL,Stadium,Sponsor Rep,Brand Safety,No More Stunts,,
S1E2_STL,Stadium,Section 138,Mood: Illiquid,Boo Liquidity,,
S1E2_STL,Geyser_Park,Local (Cables),Liquidity Provider,Terms: Cash Only,,
S1E2_STL,Stadium,Batboy,Startled,Respectfully,,
S1E2_STL,Geyser_Park,BTC ATM,Co-Star (Cursed),Slippage: 80%,,
